uniqueId,date,name,school,type,rating,tuition_fee,acceptance_rate
140525962630800,2024-03-20,CS401,Caltech,Stem,5.0,15240.0,95.59
140525185435472,2024-12-06,CS501,Caltech,Stem,5.0,20488.0,86.45
140525136263248,2024-04-16,CS501,Caltech,Stem,5.0,21475.0,65.41
140525182460432,2024-09-13,CS501,Caltech,Stem,5.0,20057.0,74.51
140525183011536,2024-09-29,CS501,Caltech,Stem,5.0,19109.874457308248,69.93520170043416
140525183013520,2024-08-23,CS401,Caltech,Stem,3.0,15145.0,94.81
140525183010832,2024-11-04,CS501,Caltech,Stem,4.0,20266.0,92.61
140525183013584,2024-11-30,CS501,Caltech,Stem,4.0,19109.874457308248,69.93520170043416
140525183018384,2024-07-07,CS401,Caltech,Stem,4.0,17194.0,83.17
140525183009424,2024-04-20,CS501,Caltech,Stem,4.0,21675.0,74.56
140525183015376,2024-11-08,CS501,Caltech,Stem,5.0,20300.0,73.56
140525183018576,2024-11-27,CS501,Caltech,Stem,5.0,20049.0,90.43
140525183013136,2024-12-02,CS401,Caltech,Stem,5.0,15233.0,75.15
140525183009936,2024-12-03,CS401,Caltech,Stem,3.0,15342.0,93.22
140525183016912,2024-08-21,CS501,Caltech,Stem,4.0,22996.0,88.53
140525183014736,2024-10-01,CS401,Caltech,Stem,4.0,17302.0,89.15
140525183018064,2024-09-28,CS401,Caltech,Stem,4.0,15008.0,87.36
140525183013776,2024-12-08,CS401,Caltech,Stem,2.0,15104.0,82.62
140525137114640,2024-09-21,CS401,Caltech,Stem,4.0,15189.0,80.12
140525137112400,2024-10-04,CS401,Caltech,Stem,3.5576437831723657,16989.0,63.61
140525137107984,2024-11-09,CS501,Caltech,Stem,4.0,20176.0,57.0
140525137105936,2024-08-31,CS501,Caltech,Stem,5.0,20263.0,86.38
140525137108496,2024-09-20,CS601,Caltech,Stem,4.0,25577.0,64.4
140525137111888,2024-11-30,CS401,Caltech,Stem,3.0,16277.0,88.66
140525137102096,2024-12-28,CS501,Caltech,Stem,4.0,21031.0,76.43
140525137113424,2024-09-06,CS501,Caltech,Stem,3.0,20150.0,96.29
140525137101328,2024-10-06,CS401,Caltech,Stem,4.0,16612.0,92.29
140525137102864,2024-06-02,CS401,Caltech,Stem,5.0,16600.0,91.47
140525137104912,2024-12-17,CS401,Caltech,Stem,4.0,16850.0,98.62
140525137106960,2024-12-16,CS601,Caltech,Stem,4.0,27384.0,92.33
140525137115920,2024-09-28,CS501,Caltech,Stem,3.0,20016.0,81.4
140525137101840,2024-09-22,CS501,Caltech,Stem,4.0,20091.0,95.23
140525137113168,2024-05-02,CS401,Caltech,Stem,5.0,15284.0,96.42
140525137113680,2024-12-19,CS401,Caltech,Stem,4.0,15436.0,61.75
140525137114128,2024-11-16,CS401,Caltech,Stem,4.0,16481.0,92.76
140525137107472,2024-11-12,CS401,Caltech,Stem,5.0,15590.0,98.78
140525137111120,2024-09-13,CS501,Caltech,Stem,4.0,20980.0,95.98
140525137105168,2024-11-26,CS401,Caltech,Stem,3.0,16073.0,95.59
140525137103376,2024-12-10,CS601,Caltech,Stem,4.0,25199.0,96.51
140525137107728,2024-12-24,CS501,Caltech,Stem,4.0,22925.0,67.68
140525137109200,2024-08-30,CS401,Caltech,Stem,5.0,16708.0,89.37
140525137109712,2024-11-19,CS501,Caltech,Stem,4.0,19109.874457308248,69.93520170043416
140525137103120,2024-10-31,CS401,Caltech,Stem,3.0,15002.0,81.7
140525137105680,2024-09-10,CS501,Caltech,Stem,5.0,22025.0,79.24
140525137113872,2024-10-24,CS501,Caltech,Stem,5.0,20318.0,58.92
140525137108240,2024-09-29,CS401,Caltech,Stem,4.0,16524.0,66.06
140526244023760,2024-12-17,CS401,Caltech,Stem,3.0,15366.0,74.06
140526244026832,2024-12-24,CS501,Caltech,Stem,3.0,22771.0,66.59
140526244023504,2024-08-14,CS401,Caltech,Stem,4.0,15164.0,58.15
140526244021904,2024-02-18,CS401,Caltech,Stem,5.0,17455.0,83.11
140526244028112,2024-07-19,CS501,Caltech,Stem,4.0,20929.0,96.76
140526244028560,2024-08-30,CS501,Caltech,Stem,4.0,21879.0,85.53
140526244025168,2024-05-24,CS401,Caltech,Stem,4.0,15167.0,79.85
140526244023952,2024-11-03,CS401,Caltech,Stem,3.0,16533.0,81.37
140526244023056,2024-12-07,CS501,Caltech,Stem,2.0,21242.0,77.2
140526244026960,2024-08-26,CS401,Caltech,Stem,4.0,18027.0,64.48
140526244024912,2024-12-25,CS401,Caltech,Stem,5.0,16437.0,94.65
140526244021520,2024-10-19,CS401,Caltech,Stem,5.0,15732.0,80.69
140526244021456,2024-10-27,CS401,Caltech,Stem,5.0,16457.0,93.29
140526244023440,2024-12-28,CS401,Caltech,Stem,4.0,15875.0,76.12
140526244028176,2024-10-01,CS501,Caltech,Stem,3.0,20612.0,65.03
140526244023184,2024-08-06,CS401,Caltech,Stem,4.0,15289.0,65.95
140526244027024,2024-10-09,CS501,Caltech,Stem,4.0,21319.0,79.09
140526244022096,2024-06-04,CS401,Caltech,Stem,4.0,16667.0,71.28
140526244027408,2024-11-07,CS501,Caltech,Stem,3.0,20507.0,95.62
140526244026448,2024-11-05,CS501,Caltech,Stem,3.0,24361.0,97.61
140526244023376,2024-06-14,CS401,Caltech,Stem,5.0,17399.0,80.08
140526244020304,2024-12-23,CS501,Caltech,Stem,3.0,23363.0,74.61
140526244022352,2024-08-24,CS501,Caltech,Stem,5.0,20050.0,86.59
140526244025104,2024-10-26,CS501,Caltech,Stem,3.0,21047.0,94.54
140526244028432,2024-06-02,CS401,Caltech,Stem,3.0,15927.0,92.46
140526244024976,2024-11-01,CS501,Caltech,Stem,4.0,20608.0,67.05
140526244021392,2024-11-18,CS501,Caltech,Stem,3.0,21082.0,82.7
140526244020624,2024-12-01,CS601,Caltech,Stem,5.0,26456.0,80.42
140526244028688,2024-07-09,CS401,Caltech,Stem,5.0,15379.0,93.43
140526244024336,2024-12-28,CS401,Caltech,Stem,4.0,17015.0,93.84
140526244027536,2024-09-26,CS601,Caltech,Stem,5.0,25054.0,97.95
140526244024656,2024-08-26,CS501,Caltech,Stem,3.0,20890.0,90.2
140526244028944,2024-10-04,CS401,Caltech,Stem,3.0,16052.0,75.32
140526244027216,2024-11-08,CS501,Caltech,Stem,5.0,22401.0,87.38
140526244024208,2024-07-17,CS401,Caltech,Stem,3.0,16209.0,85.25
140526244022736,2024-12-28,CS501,Caltech,Stem,4.0,24035.0,96.83
140526244022800,2024-08-20,CS601,Caltech,Stem,4.0,25428.0,85.22
140526244029136,2024-06-23,CS401,Caltech,Stem,5.0,15616.0,97.87
140526244029264,2024-12-15,CS501,Caltech,Stem,5.0,22977.0,90.22
140526244027280,2024-06-01,CS501,Caltech,Stem,3.0,19109.874457308248,69.93520170043416
140526244022032,2024-12-07,CS401,Caltech,Stem,4.0,15455.0,92.62
140526244023568,2024-07-12,CS501,Caltech,Stem,4.0,20291.0,86.24
140525123516880,2024-07-28,CS501,Caltech,Stem,4.0,21502.0,72.55
140525123504528,2024-11-09,CS501,Caltech,Stem,4.0,21579.0,90.45
140525123512464,2024-04-09,CS501,Caltech,Stem,5.0,20394.0,95.63
140525123508304,2024-08-20,CS401,Caltech,Stem,3.0,15032.0,81.07
140525123515024,2024-11-30,CS501,Caltech,Stem,5.0,22264.0,95.26
140525123515152,2024-07-31,CS501,Caltech,Stem,3.0,20542.0,82.16
140525123512208,2024-12-21,CS501,Caltech,Stem,5.0,20734.0,93.78
140525123505552,2024-11-21,CS401,Caltech,Stem,5.0,16015.0,94.05
140525123510928,2024-08-25,CS501,Caltech,Stem,4.0,19109.874457308248,69.93520170043416
140525123513680,2024-09-14,CS501,Caltech,Stem,3.0,19109.874457308248,69.93520170043416
140525123514000,2024-12-23,CS501,Caltech,Stem,3.0,22082.0,87.73
140525123516624,2024-12-28,CS401,Caltech,Stem,4.0,15378.0,78.58
140525123512784,2024-06-07,CS401,Caltech,Stem,4.0,16871.0,74.72
140525123502160,2024-10-28,CS501,Caltech,Stem,4.0,19109.874457308248,69.93520170043416
140525123507216,2024-12-23,CS501,Caltech,Stem,5.0,23136.0,80.85
140525123511824,2024-09-30,CS501,Caltech,Stem,4.0,20448.0,54.45
140525123517264,2024-11-25,CS501,Caltech,Stem,5.0,22927.0,87.43
140525123505040,2024-07-14,CS501,Caltech,Stem,4.0,20549.0,78.53
140525123516048,2024-10-07,CS501,Caltech,Stem,3.0,19109.874457308248,69.93520170043416
140525123515408,2024-11-12,CS501,Caltech,Stem,4.0,20119.0,77.26
140525123514512,2024-12-15,CS401,Caltech,Stem,5.0,15027.0,89.16
140525123516496,2024-11-17,CS401,Caltech,Stem,5.0,17375.0,81.94
140525123509968,2024-08-28,CS401,Caltech,Stem,4.0,16013.0,49.49
140525123504720,2024-03-16,CS401,Caltech,Stem,4.0,18059.0,93.26
140525123510096,2024-12-23,CS501,Caltech,Stem,4.0,20190.0,71.96
140525123517520,2024-08-17,CS501,Caltech,Stem,2.0,20867.0,92.15
140525123510416,2024-08-17,CS401,Caltech,Stem,5.0,15006.0,73.18
140525123507024,2024-11-20,CS401,Caltech,Stem,4.0,15217.0,84.96
140525123503120,2024-08-23,CS401,Caltech,Stem,3.0,15380.0,95.96
140525123518224,2024-11-12,CS401,Caltech,Stem,3.0,15977.0,96.96
140525123516240,2024-09-25,CS401,Caltech,Stem,2.0,17236.0,88.17
140525123502544,2024-04-16,CS501,Caltech,Stem,5.0,23036.0,96.16
140525123510672,2024-12-12,CS401,Caltech,Stem,3.0,16489.0,98.38
140525123507920,2024-08-08,CS401,Caltech,Stem,4.0,16695.0,98.23
140525123507792,2024-08-17,CS501,Caltech,Stem,2.0,21786.0,81.18
140525123507088,2024-12-28,CS501,Caltech,Stem,3.0,23332.0,97.86
140525123515792,2024-08-04,CS401,Caltech,Stem,4.0,15964.0,76.75
140525123508176,2024-12-01,CS401,Caltech,Stem,5.0,19109.874457308248,69.93520170043416
140525123511312,2024-08-15,CS401,Caltech,Stem,5.0,16817.0,76.31
140525123510288,2024-06-16,CS501,Caltech,Stem,3.0,20322.0,85.15
140525123510992,2024-08-19,CS501,Caltech,Stem,4.0,20311.0,93.66
140525123514384,2024-09-29,CS501,Caltech,Stem,4.0,20099.0,91.16
140525123510864,2024-07-16,CS601,Caltech,Stem,5.0,25819.0,78.15
140525123504848,2024-09-11,CS501,Caltech,Stem,4.0,21290.0,73.32
140525123509136,2024-12-20,CS501,Caltech,Stem,3.0,19109.874457308248,69.93520170043416
140525123508880,2024-09-26,CS501,Caltech,Stem,5.0,20973.0,95.68
140525123515728,2024-08-18,CS501,Caltech,Stem,5.0,20380.0,74.45
140525123508560,2024-11-07,CS601,Caltech,Stem,4.0,27001.0,89.34
140525123509840,2024-07-14,CS401,Caltech,Stem,4.0,16342.0,92.63
